ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalogue","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _wpml_import_translation_group","Meta: _wpml_import_language_code","Meta: _wpml_import_source_language_code"
51343,simple,,,"LOOP Jalapeño Lime Extra Strong",1,0,visible,"Try LOOP Jalapeño Lime Extra Strong nicotine pouches for a zesty kick. Enjoy the convenience of discreet and long-lasting flavor with these nicotine pouches.","Experience a bold fusion of spicy Jalapeño and zesty Lime with LOOP Jalapeño Lime Extra Strong nicotine pouches. Enjoy the convenience of discreet, smoke-free nicotine delivery in refreshing flavors. These pouches pack a punch, delivering a strong nicotine kick for those seeking a stimulating experience. Try LOOP for a satisfying and flavorful alternative to traditional tobacco consumption.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-jalapeno-lime-extra-strong-1.png,,,,,,,,,0,,,,,,7775,us,
51344,simple,,,"LOOP Habanero Mint Slim Hyper Strong",1,0,visible,"Experience a bold fusion of heat and cool with LOOP Habanero Mint Slim Hyper Strong nicotine pouches. Enjoy intense flavor and convenience on-the-go.","Experience an intense rush with LOOP Habanero Mint Slim Hyper Strong nicotine pouches. These convenient pouches deliver a potent kick of nicotine and a refreshing blend of habanero and mint flavors. Enjoy discreet enjoyment anytime, anywhere. Boost your day with a flavorful twist and a powerful nicotine hit.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-habanero-mint-slim-hyper-strong-1.png,,,,,,,,,0,,Flavor,,1,1,7776,us,
51345,simple,,,"LOOP Red Chili Melon Strong",1,0,visible,"Experience a blend of spicy red chili and refreshing melon with LOOP Red Chili Melon Strong nicotine pouches. Enjoy convenience on-the-go.","Experience a burst of flavor with LOOP Red Chili Melon Strong nicotine pouches. Enjoy the convenience of nicotine delivery without the need for smoke or vapor. With a unique blend of spicy chili and sweet melon, these pouches offer a bold and refreshing experience. Perfect for users seeking a strong nicotine kick in a discreet and hassle-free form.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-red-chili-melon-strong-1.png,,,,,,,,,0,,,,,,7777,us,
51346,simple,,,"LOOP Hot Mango Extra Strong",1,0,visible,"Experience an extra-strong kick with LOOP Hot Mango Nicotine Pouches. Enjoy a flavorful and convenient nicotine experience anywhere, anytime.","Experience a burst of tropical flavor with LOOP Hot Mango Extra Strong nicotine pouches. Enjoy the convenience of these discreet pouches that provide a quick and satisfying nicotine delivery. Indulge in the bold mango taste while staying refreshed on the go. Discover a new way to enjoy nicotine pouches with an extra kick of strength.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-hot-mango-extra-strong-1.png,,,,,,,,,0,,,,,,7778,us,
51347,simple,,,"LOOP Smooth Mint Strong",1,0,visible,"Enjoy a refreshing minty kick with LOOP Smooth Mint Strong nicotine pouches. Get your nicotine fix discreetly and conveniently on-the-go.","Experience a refreshing burst with LOOP Smooth Mint Strong nicotine pouches. Enjoy the convenience of these discreet pouches delivering a long-lasting mint flavor and satisfying nicotine hit. Perfect for on-the-go use, these pouches provide a smoke-free and hassle-free option for nicotine delivery. Elevate your experience with LOOP Smooth Mint Strong nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-smooth-mint-strong-1.png,,,,,,,,,0,,,,,,7779,us,
51348,simple,,,"LOOP Hot Rhubarb Strong",1,0,visible,"Experience a bold burst of rhubarb flavor with LOOP Hot Rhubarb Strong nicotine pouches. Convenient and satisfying, perfect for on-the-go users.","Experience a burst of flavor and nicotine satisfaction with LOOP Hot Rhubarb Strong nicotine pouches. These convenient pouches offer a refreshing rhubarb taste with a strong nicotine kick. Perfect for when you're on the go, these pouches provide discreet and easy nicotine delivery. Enjoy the bold flavor and long-lasting effect with LOOP Hot Rhubarb Strong nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-hot-rhubarb-strong-1.png,,,,,,,,,0,,,,,,7780,us,
51349,simple,,,"LOOP Red Chili Melon Hyper Strong",1,0,visible,"Experience a kick of flavor with LOOP Red Chili Melon Hyper Strong nicotine pouches. Enjoy convenience and satisfaction anytime, anywhere.","Experience the bold flavor and powerful kick of LOOP Red Chili Melon Hyper Strong nicotine pouches. These convenient pouches deliver a burst of spicy chili and refreshing melon taste, perfect for a quick nicotine boost anytime, anywhere. With Hyper Strong nicotine levels for intense satisfaction, these pouches are a convenient and discreet choice for nicotine enjoyment on the go. Join the LOOP revolution with these unique and flavorful nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-red-chili-melon-hyper-strong-1.png,,,,,,,,,0,,,,,,7781,us,
51350,simple,,,"LOOP Red Chili Melon Extra Strong",1,0,visible,"Experience an intense kick with LOOP Red Chili Melon Extra Strong nicotine pouches. Unique blend for a bold flavor and long-lasting buzz. Ideal for on-the-go use.","Experience a burst of flavor with LOOP Red Chili Melon Extra Strong nicotine pouches. Enjoy the convenience and discreetness of these pouches with a spicy chili kick complemented by refreshing melon notes. Get a quick nicotine delivery without the need for smoke or vapor. Try LOOP Red Chili Melon for a unique and intense pouch experience.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-red-chili-melon-extra-strong-1.png,,,,,,,,,0,,,,,,7782,us,
51351,simple,,,"LOOP Habanero Mint Slim Extra Strong",1,0,visible,"Experience a bold fusion of habanero and mint with LOOP Habanero Mint Slim Extra Strong nicotine pouches. Enjoy intense flavor and long-lasting satisfaction.","Experience a bold fusion of heat and freshness with LOOP Habanero Mint Slim Extra Strong nicotine pouches. Enjoy the convenience of discreet pouches delivering intense minty flavor and a powerful nicotine kick. Elevate your nicotine experience with these slim pouches that provide a long-lasting and enjoyable sensation. Discover a whole new level of satisfaction with these extra strong nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-habanero-mint-slim-extra-strong-1.png,,,,,,,,,0,,,,,,7783,us,
51352,simple,,,"LOOP Hot Mango Strong",1,0,visible,"Experience a burst of flavor with LOOP Hot Mango Strong nicotine pouches. Convenient and discreet, perfect for on-the-go satisfaction.","Experience the intense flavor of LOOP Hot Mango Strong nicotine pouches. Delivering a powerful nicotine kick, these pouches offer a convenient and discreet way to enjoy your favorite flavors without the need for smoking. With a refreshing mango taste and strong nicotine delivery, these pouches are perfect for on-the-go use. Discover a satisfying alternative with LOOP Hot Mango Strong nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-hot-mango-strong-1.png,,,,,,,,,0,,,,,,7784,us,
51353,simple,,,"LOOP Licorice Fusion Extra Strong",1,0,visible,"Experience a bold fusion with LOOP Licorice Fusion Extra Strong nicotine pouches. Enjoy the convenience of discreet nicotine pouches anytime, anywhere.","Experience the bold taste and intense nicotine kick of LOOP Licorice Fusion Extra Strong nicotine pouches. Enjoy the convenience of these discreet pouches with long-lasting flavor and quick nicotine delivery. With its fusion of licorice flavor and extra strength, these pouches offer a satisfying experience anytime, anywhere. Upgrade your nicotine experience with LOOP today!",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-licorice-fusion-extra-strong-1.png,,,,,,,,,0,,,,,,7785,us,
51354,simple,,,"LOOP Jalapeño Lime Mini",1,0,visible,"Try LOOP Jalapeño Lime Mini nicotine pouches for a bold burst of flavor in a discreet, mess-free form. Experience convenience with these unique nicotine pouches.","Experience a burst of flavor with LOOP Jalapeño Lime Mini nicotine pouches. These pouches offer convenient and discreet nicotine delivery without the need to smoke. Enjoy the unique combination of spicy jalapeño and zesty lime flavors. Perfect for on-the-go use, these pouches provide a refreshing alternative to traditional tobacco products. Up your nicotine experience with LOOP Jalapeño Lime Mini pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-jalapeno-lime-mini-1.png,,,,,,,,,0,,,,,,7786,us,
51355,simple,,,"LOOP Red Chili Melon Mini",1,0,visible,"Experience a burst of flavor with LOOP Red Chili Melon Mini nicotine pouches. Convenient and discreet for a satisfying nicotine hit anytime, anywhere.","Discover the vibrant kick of LOOP Red Chili Melon Mini nicotine pouches. These convenient and discreet pouches offer a unique blend of spicy chili and sweet melon flavors, delivering a smooth nicotine experience. Perfect for on-the-go use, these pouches provide a satisfying alternative to smoking. Try LOOP Red Chili Melon Mini pouches for a bold and flavorful nicotine hit anytime, anywhere.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-red-chili-melon-mini-1.png,,,,,,,,,0,,,,,,7787,us,
51356,simple,,,"LOOP Ice Cool Mint Strong",1,0,visible,"Experience the refreshing chill of LOOP Ice Cool Mint Strong nicotine pouches. Enjoy a convenient and discreet way to get your nicotine fix anytime, anywhere.","Experience a refreshing burst of flavor with LOOP Ice Cool Mint Strong nicotine pouches. Convenient and discreet, these pouches deliver a strong nicotine kick while providing a cool mint sensation. Perfect for on-the-go use, each pouch ensures a long-lasting flavor experience. Say goodbye to smoking and hello to a convenient and flavorful nicotine option with LOOP Ice Cool Mint Strong nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-ice-cool-mint-strong-1.png,,,,,,,,,0,,,,,,7788,us,
51357,simple,,,"LOOP Hot Peach Strong",1,0,visible,"Experience the bold flavor of LOOP Hot Peach Strong nicotine pouches. Convenient, discreet, and satisfying for a lasting nicotine hit.","Experience a burst of flavor and convenience with LOOP Hot Peach Strong nicotine pouches. These pouches deliver a powerful nicotine kick while tantalizing your taste buds with the delicious essence of ripe peaches. Perfect for on-the-go use, each pouch offers discreet and long-lasting enjoyment. Upgrade your nicotine experience with LOOP Hot Peach Strong pouches today.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-hot-peach-strong-1.png,,,,,,,,,0,,,,,,7789,us,
51358,simple,,,"LOOP Jalapeno Lime Slim Hyper Strong",1,0,visible,"Experience the zesty kick of LOOP Jalapeno Lime Slim Hyper Strong nicotine pouches. Convenient and flavorful option for nicotine pouch users.","Experience a burst of flavor with LOOP Jalapeno Lime Slim Hyper Strong nicotine pouches. These convenient pouches deliver a powerful nicotine kick in a zesty jalapeno lime flavor. Enjoy discreet and long-lasting nicotine satisfaction anytime, anywhere. Ideal for those seeking a bold and refreshing nicotine experience. Discover the perfect balance of convenience, flavor, and nicotine delivery with LOOP nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-jalapeno-lime-slim-hyper-strong-1.png,,,,,,,,,0,,,,,,7790,us,
51359,simple,,,"LOOP Smooth Mint Extra Strong",1,0,visible,"Experience extra strong nicotine satisfaction with LOOP Smooth Mint pouches. Get a refreshing mint flavor on the go with these convenient nicotine pouches.","Experience a refreshing burst of flavor and a powerful nicotine kick with LOOP Smooth Mint Extra Strong nicotine pouches. These convenient pouches offer a discreet and hassle-free way to enjoy nicotine anytime, anywhere. With a cool mint flavor and an extra strong nicotine delivery, LOOP pouches provide a satisfying experience for nicotine users on-the-go. Elevate your nicotine enjoyment with LOOP Smooth Mint Extra Strong nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,LOOP,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/loop-smooth-mint-extra-strong-1.png,,,,,,,,,0,,,,,,7773,us,
51360,simple,,,"On! Plus Berry Slim Normal",1,0,visible,"Experience the refreshing taste of On! Plus Berry Slim Normal nicotine pouches. Convenient and discreet, enjoy nicotine without the smoke.","Enjoy the refreshing taste of On! Plus Berry Slim Normal nicotine pouches. These discreet pouches deliver a convenient and flavorful nicotine experience. With a slim design for comfort and ease of use, these pouches provide a quick nicotine delivery, perfect for on-the-go use. Experience the burst of berry flavor while satisfying your nicotine cravings anytime, anywhere. Choose On! Plus Berry for a convenient and enjoyable way to enjoy nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,"ON!, Uncategorized @us",,,https://nicotine-pouches.org/wp-content/uploads/2024/08/on-plus-berry-slim-normal-1.png,,,,,,,,,0,,,,,,7741,us,
51361,simple,10008,,"On! Plus Berry Slim Strong",1,0,visible,"Enjoy the convenience and bold flavor of On! Plus Berry Slim Strong nicotine pouches for a smoke-free experience anytime, anywhere.","Discover On! Plus Berry Slim Strong nicotine pouches, a convenient and flavorful way to enjoy nicotine on the go. With a satisfying berry taste and a strong nicotine delivery, these pouches provide a discreet and smoke-free experience. Experience the freedom of On! Plus pouches wherever you are.",,,taxable,,1,,,0,0,,,,,1,,,"3,39","ON!, Uncategorized @us",,,https://nicotine-pouches.org/wp-content/uploads/2024/08/on-plus-berry-slim-strong-1.png,,,,,,,,,0,,,,,,7742,us,
51362,simple,,,"On! Plus Smooth Mint Slim Strong",1,0,visible,"Experience the refreshing burst of On! Plus Smooth Mint Slim Strong nicotine pouches. Convenient and satisfying choice for nicotine pouch lovers.","Experience a burst of freshness with On! Plus Smooth Mint Slim Strong nicotine pouches. These discreet pouches offer convenience on-the-go and a satisfying mint flavor. Delivering a strong nicotine kick without tobacco, they are a perfect choice for those seeking a quick and clean nicotine experience. Discover the perfect balance of flavor and strength with On! Plus Smooth Mint nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,"ON!, Uncategorized @us",,,https://nicotine-pouches.org/wp-content/uploads/2024/08/on-plus-smooth-mint-slim-strong-1.png,,,,,,,,,0,,Flavor,,1,1,7743,us,
51363,simple,,,"On! Plus Citrus Slim Strong",1,0,visible,"Enjoy the refreshing taste of On! Plus Citrus Slim Strong nicotine pouches. Convenient and discreet, perfect for on-the-go nicotine satisfaction.","Experience the refreshing burst of Citrus with On! Plus Citrus Slim Strong nicotine pouches. Enjoy the convenience of discreet pouches delivering a strong nicotine kick. With no smoke or spit, savor the citrus flavor wherever you go. Elevate your nicotine experience with On! Plus Citrus pouches.",,,taxable,,1,,,0,0,,,,,1,,,,"ON!, Uncategorized @us",,,https://nicotine-pouches.org/wp-content/uploads/2024/08/on-plus-citrus-slim-strong-1.png,,,,,,,,,0,,,,,,7744,us,
51376,simple,,,"On! Plus Smooth Mint Slim Normal",1,0,visible,"Experience refreshing satisfaction with On! Plus Smooth Mint Slim Normal nicotine pouches. Enjoy discreet convenience anytime, anywhere.","Enjoy a refreshing nicotine experience with On! Plus Smooth Mint Slim Normal nicotine pouches. These pouches offer a convenient and discreet way to get your nicotine fix without the need for smoke or vapor. The smooth mint flavor provides a refreshing burst while the slim design ensures a comfortable fit. Experience convenient nicotine delivery anytime, anywhere with On! Plus nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,"ON!, Uncategorized @us",,,https://nicotine-pouches.org/wp-content/uploads/2024/08/on-plus-smooth-mint-slim-normal-1.png,,,,,,,,,0,,,,,,7739,us,
51377,simple,,,"On! Plus Citrus Slim Normal",1,0,visible,"Enjoy a citrus burst with On! Plus Citrus Slim Normal nicotine pouches. Convenient and discreet, these nicotine pouches offer a flavorful way to satisfy cravings.","Experience a burst of refreshing citrus with On! Plus Citrus Slim Normal nicotine pouches. These pouches offer the convenience of discreet, smoke-free nicotine delivery anytime, anywhere. Enjoy a long-lasting flavor sensation while satisfying your nicotine cravings. Elevate your experience with On! Plus Citrus Slim Normal nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,"ON!, Uncategorized @us",,,https://nicotine-pouches.org/wp-content/uploads/2024/08/on-plus-citrus-slim-normal-1.png,,,,,,,,,0,,,,,,7740,us,
51380,simple,,,"Velo Ruby Berry 10MG Slim Extra Strong",1,0,visible,"""Experience a burst of flavor with Velo Ruby Berry 10MG Slim Extra Strong nicotine pouches. Convenient and satisfying alternative to smoking.""","Experience the convenience of Velo Ruby Berry 10MG Slim Extra Strong nicotine pouches. With a burst of refreshing berry flavor, these pouches deliver a satisfying nicotine kick. Perfect for on-the-go use, they offer a discrete and flavorful alternative to traditional tobacco products. Try Velo Ruby Berry for a convenient and enjoyable nicotine experience.",,,taxable,,1,,,0,0,,,,,1,,"4,088",,Velo,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/velo-ruby-berry-10mg-slim-extra-strong-1.png,,,,,,,,,0,,,,,,2816,us,
51381,simple,VELO-RVMNPBV-2830,,"Velo Royal Violet",1,0,visible,"""Enjoy the rich flavor and convenience of Velo Royal Violet nicotine pouches. Experience a smooth and satisfying way to enjoy nicotine anytime, anywhere.""","Experience a burst of flavor and convenience with Velo Royal Violet nicotine pouches. These pouches deliver a smooth and satisfying nicotine experience in a discreet and easy-to-use format. Enjoy the royal violet flavor while getting your nicotine fix anytime, anywhere. Elevate your experience with Velo nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,"4,088",,Velo,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/velo-royal-violet-mini-1.png,,,,,,,,,0,,,,,,2830,us,
51382,simple,,,"Velo Ice Cool Strong",1,0,visible,"Stay cool and refreshed with Velo Ice Cool Strong nicotine pouches. Experience a convenient and gradual release of nicotine anytime, anywhere.","Enjoy a refreshing and convenient nicotine experience with Velo Ice Cool Strong nicotine pouches. Available in various flavors, these pouches deliver a strong nicotine kick without tobacco. Perfect for on-the-go use, Velo pouches offer a discreet and smoke-free alternative. Try Velo Ice Cool Strong for a cool and satisfying nicotine experience.",,,taxable,,1,,,0,0,,,,,1,,,,Velo,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/velo-ice-cool-strong-1.png,,,,,,,,,0,,,,,,2832,us,
51383,simple,,,"Velo Urban Vibe 6mg",1,0,visible,"Enjoy a boost of energy on-the-go with Velo Urban Vibe 6mg nicotine pouches. Convenient and discreet for your urban lifestyle.","Experience the perfect balance of freshness and convenience with Velo Urban Vibe 6mg nicotine pouches. Indulge in a burst of flavor while enjoying discreet nicotine delivery. Ideal for on-the-go lifestyles, these pouches offer a hassle-free alternative to traditional tobacco products. Dive into a world of flavored satisfaction with Velo nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,Velo,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/velo-urban-vibe-6mg-1.png,,,,,,,,,0,,,,,,2834,us,
51384,simple,,,"Velo Freeze X-Strong",1,0,visible,"Enjoy the intense kick of Velo Freeze X-Strong nicotine pouches. Stay refreshed and satisfied with these convenient, tobacco-free pouches.","Experience a chill with Velo Freeze X-Strong nicotine pouches. These pouches offer a convenient and discreet way to enjoy a burst of icy freshness and intense nicotine delivery. Available in a variety of delicious flavors, these nicotine pouches are perfect for users seeking a strong yet satisfying experience. Say goodbye to smoke and hello to a refreshing and flavorful alternative with Velo Freeze X-Strong nicotine pouches.",,,taxable,,1,,,0,0,,,,,1,,,,Velo,,,https://nicotine-pouches.org/wp-content/uploads/2024/08/velo-freeze-x-strong-1.png,,,,,,,,,0,,,,,,2852,us,
